Age;3H;3He(trit);3Ho;3H/3Ho;SF6
410;0,679128164;8,697634679;9,376648005;0,134753228;0,009979681
411;0,674629758;8,661327325;9,335842852;0,134753228;0,009881583
412;0,670160077;8,625236461;9,29528198;0,134753228;0,009784545
413;0,665718951;8,589360986;9,254965978;0,134753228;0,009688555
414;0,661306212;8,553699797;9,214892644;0,134753228;0,0095936
415;0,656921691;8,518251797;9,175060712;0,134753228;0,009499668
416;0,652565223;8,483015042;9,13546892;0,134753228;0,009406747
417;0,648236641;8,447990141;9,096116011;0,134753228;0,009314825
418;0,64393578;8,413175153;9,057000731;0,134753228;0,009223889
419;0,639662476;8,378568994;9,018120929;0,134753228;0,009133929
420;0,635416564;8,344170579;8,979477165;0,134753228;0,009044933
421;0,631197883;8,309978832;8,941067293;0,134753228;0,008956888
422;0,627006269;8,275992675;8,902890075;0,134753228;0,008869785
423;0,622841562;8,242211037;8,864944277;0,134753228;0,008783612
424;0,618703602;8,208632849;8,82722867;0,134753228;0,008698358
425;0,614592228;8,175257045;8,789742028;0,134753228;0,008614013
426;0,610507281;8,142082562;8,752483131;0,134753228;0,008530565
427;0,606448605;8,109108342;8,715450762;0,134753228;0,008448004
428;0,60241604;8,07633333;8,678643707;0,134753228;0,008366319
429;0,598409431;8,043756472;8,642060758;0,134753228;0,008285501
430;0,594428623;8,011376722;8,605700712;0,134753228;0,00820554
431;0,590473459;7,979193033;8,569562368;0,134753228;0,008126425
432;0,586543786;7,947204365;8,53364453;0,134753228;0,008048146
