tts,weights
1.137385e+02,8.191107e-04
1.231689e+02,7.870323e-04
1.137385e+02,8.191107e-04
1.776186e+03,5.740419e-04
8.777914e+02,6.646230e-04
7.495952e+02,7.099428e-04
8.683294e+02,6.646230e-04
7.489526e+02,7.436407e-04
1.539520e+02,8.300306e-04
1.382882e+02,8.730849e-04
1.539520e+02,8.300306e-04
1.382882e+02,8.730849e-04
9.682562e+02,6.146098e-04
8.045668e+02,6.601475e-04
9.495377e+02,6.146098e-04
8.014666e+02,7.099428e-04
1.811524e+02,8.699936e-04
1.589956e+02,9.239244e-04
1.811524e+02,8.699936e-04
1.589956e+02,9.239244e-04
1.089719e+03,5.337214e-04
8.873035e+02,6.046383e-04
1.061836e+03,5.640344e-04
8.753064e+02,6.601475e-04
2.125857e+02,8.372909e-04
1.800243e+02,9.024953e-04
2.125857e+02,8.372909e-04
1.800243e+02,9.024953e-04
1.228751e+03,5.003561e-04
9.923100e+02,5.539471e-04
1.198466e+03,5.003561e-04
9.724642e+02,6.046383e-04
2.423554e+02,8.509551e-04
2.034486e+02,9.232558e-04
2.423554e+02,8.509551e-04
2.034486e+02,9.232558e-04
1.351691e+03,4.807560e-04
1.099283e+03,5.158784e-04
1.328387e+03,4.894103e-04
1.084086e+03,5.218575e-04
2.733505e+02,7.796045e-04
2.265588e+02,9.288748e-04
2.733505e+02,7.796045e-04
2.265588e+02,9.288748e-04
1.435776e+03,4.807560e-04
1.185120e+03,5.157164e-04
1.436962e+03,4.807560e-04
1.182278e+03,4.940032e-04
3.092314e+02,7.708545e-04
2.534219e+02,8.433853e-04
3.092314e+02,7.708545e-04
2.534219e+02,8.433853e-04
1.485481e+03,4.813053e-04
1.243307e+03,5.210665e-04
1.501049e+03,4.813053e-04
1.251251e+03,4.947751e-04
3.467470e+02,7.539629e-04
2.861881e+02,8.209620e-04
3.467470e+02,7.539629e-04
2.861881e+02,8.209620e-04
1.515121e+03,4.921145e-04
1.287167e+03,5.210665e-04
1.531009e+03,4.902847e-04
1.296516e+03,5.210665e-04
3.892983e+02,7.296903e-04
3.245605e+02,7.875156e-04
3.892983e+02,7.296903e-04
3.245605e+02,7.875156e-04
1.544815e+03,5.162436e-04
1.338617e+03,5.533804e-04
1.552591e+03,5.081553e-04
1.342207e+03,5.313791e-04
4.409340e+02,6.994279e-04
3.724185e+02,7.454828e-04
4.409340e+02,6.994279e-04
3.724185e+02,7.454828e-04
1.593995e+03,5.355588e-04
1.413410e+03,5.612348e-04
1.593995e+03,5.355588e-04
1.412159e+03,5.612348e-04
5.057349e+02,6.649782e-04
4.338795e+02,6.979166e-04
5.057349e+02,6.649782e-04
4.338795e+02,6.979166e-04
1.667942e+03,5.633038e-04
1.514071e+03,5.707613e-04
1.667942e+03,5.633038e-04
